file_name,answer
118.wav,선풍기 한 시간 지나면 꺼줄래
119.wav,방향 아래쪽이야
120.wav,어제 식료품 주문 내역에서 당근 가격 조회해 줘
121.wav,뒷자리 차 문 열린 것 같은데 완전히 닫아 줄래
122.wav,오 분 후 도착이니 단계 유지해 줘
123.wav,에어컨을 틀어
124.wav,에어컨 틀어 줄래
125.wav,나 출근하고 아홉 시 넘으면 가스 밸브 잠가지게 타이머 맞춰 줘
126.wav,에어컨 강도 최저로 바꿔 줄래
127.wav,블랙박스 잘 달려 있지
128.wav,내가 운전자 일 모드 어떻게 설정해놨었지
129.wav,차 시동이 켜졌나 꺼 줘
130.wav,보일라 단계 일 단계로 조정해 줘
131.wav,뒷자리 차 문 개문 바랍니다
132.wav,시트 온도 많이 올려 줘
133.wav,현관문 잠금 상태 전송 부탁할게
134.wav,주방 로봇 청소기 이 단계만 내려 봐
135.wav,로봇 청소기 모드 설정 부탁합니다
136.wav,지금까지 주행거리 보면 엔진 오일 교체해야 하나
137.wav,내가 운전 실수했으니 비상등 밝혀 줘
138.wav,얘들이 더워하니까 에어컨은 아래로 향하게 해 줘
139.wav,저번 주에 휴지를 샀었나
140.wav,대기 송풍 모드로 미세먼지 잡아 줘
141.wav,선풍기 플러그 위치 찾게 도와 줘
142.wav,집 형광등 전원 한 시간 후에 올려
143.wav,보일러 이 단계로 변경해
144.wav,안방에 불 확인 못 했는데 켜져 있는지 알려 줘
145.wav,조수석 시트 통풍과 열선 전부 켜 줘
146.wav,집 보일러 온도 좀 높게 맞추자
147.wav,운전석 시트랑 조수석 시트 똑같이 설정해 줘
148.wav,에어컨 꺼요
149.wav,식료품 주문 내역서 있어
150.wav,바람을 아래로 해서 에어컨 움직여 줘
151.wav,티브이 위쪽에 거실 조명이 있어
152.wav,시동 그냥 유지할게
153.wav,보일러 희망 온도 이 도 내려
154.wav,지금 청소기 마루에서 청소하고 있어
155.wav,블랙박스 어제 분량만 틀어
156.wav,운전자 삼 모드 열선 시트 온 히터 이십칠 도로 설정해 줘
157.wav,앞에 차가 너무 밀리는데 차선 변경할 거니깐 비상등 켜 줘
158.wav,내부 시시티브이 영상 재생해
159.wav,시동이 켜져 있게 도와줘
160.wav,전기장판 연결된 플러그 어디 있어
161.wav,거실 조명 가능한 범위 내에서 제일 약하게 틀어 봐
162.wav,에어컨 설정 들어가서 최대로 바꿔 놔
163.wav,지금 송풍 모드 끌래
164.wav,히터 제일 약한 바람 나오게 해 줘
165.wav,삼 번 세팅에 에어컨 추가해 줘
166.wav,나 집에 다 왔으니깐 현관문 잠금 해제 부탁해
167.wav,식료품 뭐 샀었는지 알아봐 줘
168.wav,블랙박스 현재까지 녹화본 다 띄워 줘
169.wav,이 설정 운전자 일로 저장
170.wav,엔진오일 교체 시기 알려 줘
171.wav,지금 시끄러운 경적 좀 꺼봐
172.wav,히터 파워 오프
173.wav,집에 불을 잘 끄고 나온 건지 확인해 줘
174.wav,차량 시동 온 모드로 설정 부탁해
175.wav,선풍기 플러그가 꽂혀 있는 곳을 말해 봐
176.wav,안방 내부 전등 빠짐없이 전원 올려라
177.wav,내가 컴퓨터 플러그를 꽂아 놓은 장소가 어디인지 찾아 줘
178.wav,내일부터 이 시간으로 시동 예약할게
179.wav,식료품 뭐 샀었는지 알아봐 줘
180.wav,홈카메라 기록 내역 움직임 감지된 부분 알려 줘
181.wav,사고 당시 영상 블랙박스에 남아 있어
182.wav,차에 사람 타면 에어컨 온도 좀 이십 도에 맞춰 주라
183.wav,흡입 단계 일 단계로 조정해 줘
184.wav,앞쪽만 히터 켜 줘
185.wav,보일러 제일 약하게 유지해 줘
186.wav,파프리카 주문했는지 구매 내역에서 체크해 줘
187.wav,엔진오일 교체는 언제 다시 하면 될까
188.wav,운전석 옆 차 문 열어 줄래
189.wav,경적 그만 내주라
190.wav,안방 조명 이 단계로 바꿔 설정해 줘
191.wav,운전자 일 세팅 다시 해 줘
192.wav,세 시간 후에 안방 전원 넣어 줘
193.wav,엔진 교체 한 지 얼마나 지났어
194.wav,차 안 씨씨티브이 녹화된 거 보고 싶어
195.wav,아이 학교 가는 시간에 시동 걸어 놔 줘
196.wav,조수석에 누구 앉을 거니까 따뜻하게 틀어 놔
197.wav,어제 내부 시시티브이 보여 봐
198.wav,에어컨 온도 이십사 도로 부탁해
199.wav,차량 열선 시트 켜라
200.wav,곧 물건 받으니까 창문 다 내려 줘
201.wav,키 버튼 누를 테니까 경적 울려 줘
202.wav,차 시동 계속 켜지게끔 설정 부탁해
203.wav,컴퓨터 플러그를 내가 어디에 꽂았는지 찾고 싶어
204.wav,위쪽에 바람이 불도록 에어컨 틀어
205.wav,현관 보안 장치 시작
206.wav,비상등 점멸 부탁해
207.wav,선풍기 플러그 각각 어디 있어
208.wav,엔진 오일 바꾼 날짜 궁금하다
209.wav,에어컨 전부 일 단계로 설정해 줄래
210.wav,거실 조명 최대 전원 켜 줘
211.wav,조수석 엉덩이 따뜻하게 만들어 줘
212.wav,내가 타이머 설정한 대로 안방 불 켜면 돼
213.wav,나 엔진 오일 언제 갈아야 하지
214.wav,송풍 모드로 돌려줘
215.wav,현관문 잠금 되어 있는지 체크해
216.wav,조수석 문 잘 안 닫혔어
217.wav,자연 바람 쐬게 에어컨 꺼 줘
218.wav,자택 전체 등 기구 기동해 줘
219.wav,톨게이트 들어갈 때 창문 내려
220.wav,혹시나 가스가 셀 수 있으니 가스 밸브 잠가 놔
221.wav,깜빡했는데 안방 불 좀 꺼 줄 수 있어
222.wav,현재 차량 위치 좀 파악할 수 있을까
223.wav,조수석 창문 끝에 조금만 남기고 닫아 봐
224.wav,거실 조명 밝기 지금 상태에서 일 단계로 설정해
225.wav,시동 다시 켜 줘
226.wav,지금 내가 차 세워둔 곳 좀 알려 줘
227.wav,엔진오일 새 걸로 넣은 게 언제니
228.wav,주말에 샀던 영수증 말해 봐
229.wav,아침에 미리 시동 켜 놓이고 싶어
230.wav,홈카메라 저장 용량 여유 있어
231.wav,한시 즈음 블랙박스 좀 보여 줘
232.wav,엔진오일 교체 언제 하는 게 좋아
233.wav,집 도착하면 몇 시야
234.wav,아침 여덟 시에 차 시동 좀 예약해 놓도록
235.wav,어제 주문한 식료품 명세 확인 가능할까
236.wav,타이머 시간을 이십 분으로 한 다음 에어컨 꺼 줘
237.wav,예전에 시킨 식료품 내가 시킨 내용에서 찾아 줘
238.wav,운전자 일 세팅 다시 해 줘
239.wav,식료품 주문 리스트 알려 주세요
240.wav,내가 어제 어디에다 차를 파킹했니
241.wav,히터 사용 완료
242.wav,나올 때 조명 끄는 걸 깜박했어 대신 꺼 줘
243.wav,집에 사람 없으니까 안방 불 꺼
244.wav,아침이니까 보일러 온도를 내려
245.wav,차량 위치 추적해 봐
246.wav,안방의 실내등 죄다 점등해
247.wav,조수석에 바깥바람 통하게 해 줘
248.wav,저녁 여섯 시마다 시동 넣고 기다려
249.wav,내가 차 세워둔 곳이 어디였지
250.wav,컴퓨터 부팅 시켜 줘
251.wav,안방 침대에 사람이 있으면 일 분 후에 꺼지도록 알람 맞춰 줘
252.wav,조명 최대 모드로 실행해
253.wav,거실 조명 단계 삼이면 일로 줄여 줘
254.wav,단계 내려서 로봇 청소기 청소 시켜 줄래
255.wav,옆 차랑 닿지 않게 전체 차 문 다 열어 줘
256.wav,시트가 별로 안 따뜻한 거 같아
257.wav,엉덩이 따뜻하게 열선 시트 켜 줄래
258.wav,집 안에 어느 곳에 에어컨이 있는지 알려 줄래
259.wav,식료품 배송 단계 확인해 줘
260.wav,컴퓨터 마감시간 설정해 놓거라
261.wav,에어컨 온도 제일 낮게 켜 줘
262.wav,안방 조명 최소로 설정 가능한지 알아 봐 줄래
263.wav,플러그별 전원 인가 현황 조사해 주세요
264.wav,차 문 전부 다 여세요
265.wav,시동 끌 필요 없고 그냥 둬
266.wav,잠귄 모든 창문 다 해체해도 돼
267.wav,이번 주는 오전 여덟 시에 시동 걸어 줘
268.wav,주문한 식료품 출고 완료했어
269.wav,집에 불 빠짐없이 켜 줘
270.wav,따뜻하게 히터 켜 줘
271.wav,열선 시트 그만 쓸래
272.wav,시트 온도 올려 볼래
273.wav,엔진오일 교체 언제일까
274.wav,한 시간 뒤 거실 점등
275.wav,빨리 나갈 테니깐 시동만 그대로 유지해 줘
276.wav,어디에 있는 홈카메라가 지금 작동되고 있어
277.wav,에어컨 온도 이 도 낮춰 줄래
278.wav,나 퇴근 시간에 맞춰서 거실 조명 좀 밝혀 줄래
279.wav,안방에 불 확인 못 했는데 켜져 있는지 알려 줘
280.wav,에어컨 바람 위에서 나오게 만들어 줘
281.wav,열선 시트 계속 켜 놔줘
282.wav,온풍 기능 약하게 해 줄래
283.wav,엔진 오일 교체 예상일 안내 부탁해
284.wav,기름 남은 양이 얼마인지 체크할 수 있어
285.wav,안방 조명 최대로 밝힐래
286.wav,통풍 시트 풍량 높여 줘
287.wav,지금 설정 운전자 일에 등록 시켜 줘
288.wav,주유 직원과 얘기하게 시동석 창문 열어 줘
289.wav,엔진 오일 바꿀 날짜 좀 찾아 줘 봐
290.wav,삭제된 홈카메라 영상들 찾아 줘
291.wav,히터 때문에 덥다
292.wav,구매 목록 리스트 좀 보고 싶은데
293.wav,주간에 시동 거는 시간 예약해 둘래
294.wav,홈카메라 잔여 용량 좀 체크해 볼래
295.wav,나올 때 못 끈 거실 조명 전원 좀 꺼 줘
296.wav,안방에 켜져 있는 모든 조명 꺼 줘라
297.wav,오늘 좀 늦게 집에 가니깐 최소로 설정해
298.wav,나 곧 나갈 거니까 뒷자리 차 문 열어 줘
299.wav,집 안 불 다 점등해
300.wav,에에컨 풍량 세게 해 주겠어
301.wav,오늘 저녁 일곱 시에 시동 걸어서 기다리고 있어
302.wav,엔진 오일 바꾼 날짜 보기
303.wav,전자 제품 파워 전부 내려
304.wav,홈카메라 저장 용량이 얼마나 되는지 알려 줘
305.wav,문 열린 곳 없는지 볼래
306.wav,에어컨 더 차갑게 해 줘
307.wav,주방 에어컨 온도 올려 봐
308.wav,오늘은 순환 모드 안 켜도 돼
309.wav,자동차 경적 이 초간 울려 줘
310.wav,대기 송풍 모드로 미세먼지 잡아 줘
311.wav,두 시로 전체 소등 타이머 설정해
312.wav,지금 시동 켜진 거 안 꺼지게 해 줘
313.wav,컴퓨터가 쓰는 플러그 위치 알려 줘
314.wav,곧 갈 테니 내 차량 시동 부탁해
315.wav,에어컨 바람 줄여 줘
316.wav,엔진 오일 교체 언제 해야 할지 가르쳐 줘
317.wav,에어컨 온도 설정 이십 도로 부탁해
318.wav,블랙박스에서 뭐 좀 나왔어
319.wav,히터 바람 살짝 위로 조절해
320.wav,에어컨 아래쪽으로 체크해서 켜 줘
321.wav,매일 항상 똑같은 시간에 차량 시동 예약해 줄래
322.wav,전원 공급 중인 플러그 어디에 있는지 찾아 줘
323.wav,통근 시간에 맞는 시동 시간 설정 조정 좀 해 주라
324.wav,다음 달에 엔진오일 바꿔야 해
325.wav,어제 날짜 시시티브이 영상 찾아 줘
326.wav,자동차 경적 이 초간 울려 줘
327.wav,전체 조명 타이머 한 시간짜리로 틀어
328.wav,꺼진 플러그 위치 브리핑 부탁해
329.wav,우리 집 조명 한 단계 키워 줘
330.wav,자가용 시동 중단해
331.wav,집 에어컨 위로 향하게 해주렴
332.wav,조수석 시트 앞으로 조금 당겨 줘
333.wav,가스 밸브 잠금 예약 한 시간만 할게
334.wav,목적지에 도착하면 조수석 창문 다 닫아 줘
335.wav,밖이 너무 덥네 통풍 시트 켜 줘
336.wav,보일러 아래쪽으로만 틀고 싶어
337.wav,아까 시장 본 거 오늘 언제 와
338.wav,현관문 열림 상태인지 확인해 봐
339.wav,조수석 창문 절반만 열어
340.wav,혹시 내 엔진오일 교체일 알아
341.wav,선풍기가 연결된 플러그 알려 줘
342.wav,운전자 일 모드에 문 잠금 추가
343.wav,잠긴 모든 창문 다 해체해도 돼
344.wav,지난주 차량 내부 녹화 영상 볼 수 있어
345.wav,현관문 제대로 록 돼 있지
346.wav,히터 얼른 켜
347.wav,차에 기름 얼마나 있는지 알려줄래
348.wav,차 안에서 두 시에 녹화된 영상 있어
349.wav,바닥에 얼룩 있는 거 물걸레 모드로 닦아줘
350.wav,가스 밸브 타이머 이십 분이면 충분해
351.wav,보일러 최대 난방 능력 발휘 시켜 줘
352.wav,경적 이제 그만 울려
353.wav,엔진오일 교환이 며칠 남았는지 알아봐 줘
354.wav,지금부터 차 시동 쭉 켜 놔
355.wav,컴퓨터 플러그 위치정보를 제공해 줄래
356.wav,선풍기 플러그 각각 어디 있어
357.wav,내부 순환 모드 다시 재가동 시켜 줘
358.wav,식료품 주문 내역에서 가장 비싼 품목이 뭐야
359.wav,창문 싹 다 열고 가자
360.wav,히터 바람 설정 밑으로 해
361.wav,주유할 때 된 거 같은데 기름 얼마나 있어
362.wav,온풍 기능 약하게 해 줄래
363.wav,지금 배달 주문 들어갔는지 한번 봐 줘
364.wav,운전자 일 모드에 문 잠금 추가
365.wav,차량 종료 좀 해 줘
366.wav,차 문 네가 대신 좀 닫아 줘
367.wav,히터 온도 한 단계 높여 틀어 줘
368.wav,내가 출근 시간이 일곱 시니까 이 시간에 맞춰서 컴퓨터 전원 차단해
369.wav,어디 플러그가 지금 연결되어 있는 거니
370.wav,혹시 목적지까지 몇 분 남았어
371.wav,안방 조명 이십 분 지나면 켜 줘
372.wav,시트 온도 제어 가능해
373.wav,내일 아침에 시트 켜놓기 운전자 모드 예약 설정 해놨지
374.wav,시트가 별로 안 따뜻한 거 같아
375.wav,지금 지정된 안방 조명 제일 밝게 설정해
376.wav,보일러 지금 단계보다 하나만 낮춰 줘
377.wav,아침 아홉 시로 시동 예약해놔
378.wav,안방 불 어떻게 꺼
379.wav,내일은 쉬는 날이니까 예약 시동 꺼 줘
380.wav,조수석에서 편하게 쉬게 시트 뒤로 젖혀 줘
381.wav,졸리지 않게 히터 온도 낮춰 줘
382.wav,집 도착하면 몇 시야
383.wav,보일러 더 뜨겁게 올려 줘
384.wav,차량 내부 순환 좀 시켜 줘
385.wav,지금 식료품 주문 상태 뭐야
386.wav,에어컨 온도 십육 도 유지
387.wav,로봇 청소기 더 세게 돌려
388.wav,내 핸드폰 차에 있는지 씨씨티브이로 확인해 볼래
389.wav,운전자 모드 설정 확인 시켜 줘
390.wav,시트 온도 너무 올라가지 않게 조절해 줘
391.wav,안방 조명 빨리 삼십 초 뒤에 꺼
392.wav,엔진오일 갈아야 하는지 확인해 줘 봐
393.wav,주문 취소된 식료품 있어
394.wav,엔진 오일 갈려면 얼마나 남았어
395.wav,집을 최대한 밝게 해 줘
396.wav,너무 시끄러울 수 있으니 로봇 청소기 수행 단계를 낮춰야겠어
397.wav,전체 차 문 확인해서 알려 줘
398.wav,거실 조명 더 키워 줘
399.wav,안방에 있는 스탠드 밝기를 최대로
400.wav,로봇 청소기의 작동 단계를 한 단계 올려 줘
401.wav,안방 전등 지금 밝기 몇 단계야
402.wav,플러그별 전원 인가 현황 조사해 주세요
403.wav,아침 일곱 시부터 시동 켜고 유지해 줘
404.wav,저녁 여섯 시 집부터 학교까지 소요 시간 안내해 줘
405.wav,콘센트 방에 다 설치돼있는지 모르겠어
406.wav,홈 카메라 사용 내역 버려 줘
407.wav,안방 조명만 따로 켜 줘
408.wav,선풍기 운전 시작해 줘
409.wav,우리 집 컴퓨터 전원 차단 좀 해라
410.wav,기름 남아 있는 양 말해 줘 봐
411.wav,엔진오일 며칠에 바꿨는지 확인해 줘
412.wav,조도 최소치로 바꿔 봐
413.wav,조수석에 의자 켜
414.wav,차 안이 너무 춥네 히터부터 켜자
415.wav,옆 차랑 닿지 않게 전체 차 문 다 열어 줘
416.wav,시동 그냥 유지할게
417.wav,홈카메라가 저장할 수 있는 용량이 궁금한데 알려 줄래
418.wav,대충 언제쯤 엔진오일 갈면 좋을까
419.wav,전체 창문 닫아서 비 막아 줘
420.wav,안방 조명기구들 전부 다 일단으로 바꿔
421.wav,전원 온오프 타이머로 컨트롤하자
422.wav,운전석 창문 문제없지
423.wav,차 기름양을 봐야겠다
424.wav,뒤차에 미안하다는 표시로 비상등 켜
425.wav,어제 산 음식 목록화해서 보여 줘
426.wav,시속 육십 킬로 넘으면 모든 문 잠가
427.wav,히터 바람 설정 밑으로 해
428.wav,운전 끝 시동 꺼 줘
429.wav,블랙박스에서 뭐 좀 나왔어
430.wav,시트 히터 가동 시켰어
431.wav,모든 전원 플러그에 타이머 맞춰 줘
432.wav,홈카메라 저장 가능한 공간이 얼만큼인지 말해 줘
433.wav,나 이제 집 갈 거니까 에어컨 미리 켜 줘
434.wav,운전석 창 좀 끝까지 올려 줘
435.wav,이번 주는 오전 여덟 시에 시동 걸어 줘
436.wav,컴퓨터 플러그 위치정보를 제공해 줄래
437.wav,에에컨 풍량 세게 해 주겠어
438.wav,거실 전원 스위치 십 분 뒤에 내려 줘
439.wav,로봇 청소기 파워 모드 온
440.wav,안방 조명 이 단계 변환
441.wav,나 가스 안 끈 것 같아
442.wav,전체 조명 이 단계까지 올려 줘
443.wav,너무 어두운데 조명 단계 올려 줘
444.wav,사고 당시 영상 블랙박스에 남아 있어
445.wav,차 의자 온도 적당히 조절해 줘
446.wav,컴퓨터 부팅 속도가 느리니 사전에 전원 올려놔 줘
447.wav,엔진오일 또 언제 바꿔야 돼
448.wav,우리 집 컴퓨터 전원 차단 좀 해라
449.wav,에어컨 바람이 위쪽에서 퍼지게 설정해 줘
450.wav,올라가면 시동을 꺼
451.wav,로봇 청소기 절약 모드 끄고 청소해
452.wav,조수석 사람 타야 하니 차 문 열어 줘
453.wav,에어컨 바람 나오게 해 줘
454.wav,선풍기 전원 연결해
455.wav,아이 학교 가는 시간에 시동 걸어 놔 줘
456.wav,어두울 때 비상등을 켜 줄래
457.wav,현재 차량 위치 주소 말해 줘
458.wav,차 문 다 닫혔나 알려 줄래
459.wav,많이 어두워 비상등 좀 켜 봐
460.wav,오늘 집에 나밖에 없을 거니까 거실 조명 제일 낮게 해 줘
461.wav,주문 내역서 확인해서 양파 샀나 알려 줘
462.wav,깜빡했는데 안방 불 좀 꺼 줄 수 있어
463.wav,전체 창문 더 내려
464.wav,타이어 펑크 때문에 비상이라 비상등 부탁해
465.wav,선풍기 플러그 위치 찾게 도와 줘
466.wav,잠긴 조수석 문 풀어 줘
467.wav,전체 차 문 열림 방지해 줘
468.wav,에어컨 온도는 낮추고 알려 줘
469.wav,경적 꺼
470.wav,주차 완료 후 시동석 창문 열려 있을 시 닫아 줘
471.wav,차내에 바람 통하게 시트 통풍 켜 줘
472.wav,우리 집 에어컨 현황 가르쳐 줘
473.wav,오늘은 날이 너무 더워 에어컨 온도 좀 더 낮춰 줘
474.wav,지금 시동 켜 놓은 거 끄지 마
475.wav,운전자 열선 시트 온도 삼도 낮춰 주라
476.wav,블랙박스 영상 남아 있는지 확인해 줘
477.wav,거실 에어컨 제습으로 틀어 줘
478.wav,집 안에 있는 조명 위치 말해 줘
479.wav,나 퇴근 시간에 맞춰서 거실 조명 좀 밝혀 줄래
480.wav,내가 타이머 설정한 대로 안방 불 켜면 돼
481.wav,안방 보일러 온도 낮게 틀어
482.wav,가스 밸브 전원을 끌게
483.wav,거실 에어컨이 어디에 위치하고 있는지 아니
484.wav,식료품 주문 내역에서 가장 비싼 품목이 뭐야
485.wav,조수석에 동승자 승차 시 온열 기능 켜 줘
486.wav,엔진 오일 교체일 좀 점검해 봐라
487.wav,거실 전원 켜짐 타이머를 십 분 뒤에 실행해 줘
488.wav,조수석에 누구 앉을 거니까 따뜻하게 틀어 놔
489.wav,오 분 뒤에 송풍 모드 좀 꺼줄래
490.wav,차에 냄새 빠지게 송풍 모드 시작해 줘
491.wav,조수석 시트 통풍과 열선 전부 켜 줘
492.wav,히터 최대치로 틀어 줘
493.wav,여기선 유지하고 저기 가면 일 단계 설정 바꿀게
494.wav,카메라 켜져 있는 방 알려 주세요
495.wav,집에 있는 선풍기 전부 안 돌아가게 해
496.wav,목적지까지 내부 순환 모드로 설정해 줘
497.wav,가스 밸브 점검 바랍니다
498.wav,식료품 주문한 거 어디까지 왔어
499.wav,운전자 열선 시트 온도 삼도 낮춰 주라
500.wav,홈카메라 사용자 내역 말해 봐
501.wav,전체 조명 이 단계만큼 조절해서 밝게 해
502.wav,자연 바람 쐬게 에어컨 꺼 줘
503.wav,지그재그 모드로 거실 청소 시작
504.wav,전체 조명 타이머 한 시간짜리로 틀어
505.wav,에어컨 바람 나오게 해 줘
506.wav,지그재그 모드로 거실 청소 시작
507.wav,에어컨 풍량 강하게 해 줘
508.wav,거실 조명 중에서 꺼져 있는 조명이 어디인지 알려 줘
509.wav,애들이 거실에서 공부하니까 거실 조명 단계를 두 개 올려 줘
510.wav,보내야 할 시시티브이 지금 보여 줘 봐
511.wav,바람 쐬게 선풍기 틀어 줘
512.wav,비 들어치기 전에 운전석 창문 올려
513.wav,최근 주차모드에 블랙박스 영상 녹화되어 있지
514.wav,이제 홈카메라에 얼마나 저장할 수 있어
515.wav,홈 카메라에서 영상이 언제 삭제됐어
516.wav,안방 불 완전히 꺼 줘
517.wav,지금 쓰고 남은 기름양이 얼마나 돼
518.wav,히터 온도 좀 낮춰봐라
519.wav,컴퓨터 전원 바로 켜 볼래
520.wav,엔진 새 걸로 언제 바꿀까
521.wav,거실 불 더 어둡게 설정해
522.wav,에어컨 전원 지금 당장 켜 줘
523.wav,거실 조명 최대 전원 켜 줘
524.wav,가스 쓸 일 없으니 가스 밸브 잠가 줘
525.wav,에어컨 꺼도 되겠지
